source_key,title,subtitle,authors,author_count,isbn,publication_year,publisher,genres,duplicate_like_count,review_group,decision,reason
/books/OL32371746M,Een muizenissige kerst in New York,,Elisabetta Dami,1,9789085922056,2012,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL38313003M,Fantasia II de speurtocht naar het geluk,,Elisabetta Dami,1,,2010,De wakkere muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35331833M,Geheim agent Nul Nul K,,Elisabetta Dami,1,9789085920816,2012,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35331943M,Het hollende harnas,,Elisabetta Dami,1,9789085921592,2011,De Wakkere Muis,Fiction | Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35334486M,Het monster van Lago Lago,,Elisabetta Dami,1,9789085922018,2012,De Wakkere Muis,Policier et mystère,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35334321M,Het supergeheime project,,Elisabetta Dami,1,9789085921790,2012,De Wakkere Muis,,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35334770M,Red de witte walvis!,,Elisabetta Dami,1,9789085921011,2012,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35330744M,Terug naar kasteel Vrekkenstein,,Elisabetta Dami,1,9789085921219,2010,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35346375M,Wie heeft de vuursteen gestolen?,,Elisabetta Dami,1,9789085921776,2012,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35335287M,De bende van Ratstad,,Elisabetta Dami | David Nel·lo,2,9789085921073,2010,De Wakkere Muis,Fiction,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
/books/OL35328936M,"Gi-ga-geitenkaas, ik heb gewonnen",,Elisabetta Dami | David Nel·lo,2,9789085920359,2007,De Wakkere Muis,,0,DOMINANT_AUTHORS,KEEP_TRANSLATION,Édition ou traduction néerlandaise validée lors de la revue éditoriale NL.
