language,category,priority,author,target_work,target_index,match_state,match_score,author_score,title_score,matched_source_key,matched_title,matched_subtitle,matched_authors,matched_isbn,matched_year,matched_publisher,matched_decision,candidate_1_score,candidate_1_title,candidate_1_authors,candidate_1_source_key,candidate_2_score,candidate_2_title,candidate_2_authors,candidate_2_source_key,candidate_3_score,candidate_3_title,candidate_3_authors,candidate_3_source_key
IT,CONTEMPORARY,2,Umberto Eco,Il nome della rosa,96,NO_MATCH,0.5220,0.4444,0.5854,/books/OL16197094M,L' analisi della materia.,,Bertrand Russell,,1964,Longanesi,KEEP_TRANSLATION,0.5220,L' analisi della materia.,Bertrand Russell,/books/OL16197094M,0.5025,L' ABC della relatività.,Bertrand Russell,/books/OL15457632M,0.4913,Viaggio al centro della terra,Jules Verne,/books/OL22929920M
IT,CONTEMPORARY,2,Umberto Eco,Il pendolo di Foucault,97,NO_MATCH,0.4649,0.5185,0.4211,/books/OL20000805M,Orologi da polso,,Alberto Uglietti,9788871795492,2007,F. Motta,KEEP_CORE,0.4649,Orologi da polso,Alberto Uglietti,/books/OL20000805M,0.4380,Le Muse a Los Angeles,Alberto Arbasino,/books/OL13430429M,0.4223,"La Biennale Di Venezia, Documenta Di Kassel",Marilena Vecco,/books/OL13430476M
IT,CONTEMPORARY,2,Umberto Eco,Baudolino,98,NO_MATCH,0.4276,0.4444,0.4138,/books/OL16522151M,Autorità e individuo.,,Bertrand Russell,,1971,Longanesi,KEEP_TRANSLATION,0.4276,Autorità e individuo.,Bertrand Russell,/books/OL16522151M,0.4107,Uomini,Marisa Volpi,/books/OL20090890M,0.4093,Orologi da polso,Alberto Uglietti,/books/OL20000805M
IT,CONTEMPORARY,2,Antonio Tabucchi,Sostiene Pereira,99,NO_MATCH,0.4621,0.6897,0.2759,/books/OL19153146M,Antoni Tàpies.,,Antoni Tàpies,9788881184217,1998,Skira,KEEP_TRANSLATION,0.4621,Antoni Tàpies.,Antoni Tàpies,/books/OL19153146M,0.4550,Pilota di guerra,Antoine de Saint-Exupéry,/books/OL47938633M,0.3993,"La disciplina pe' grandi teatri, ossia, i precetti regolamentarii pel servizio interno de' medesimi",Antonio Larussa,/books/OL25400923M
IT,CONTEMPORARY,2,Antonio Tabucchi,Notturno indiano,100,NO_MATCH,0.4693,0.3871,0.5366,/books/OL20509646M,"Dante, di giorno in giorno",,Dante Alighieri,,1898,Seeber,KEEP_CORE,0.4693,"Dante, di giorno in giorno",Dante Alighieri,/books/OL20509646M,0.4268,arti di Bisanzio,Ennio Concina,/books/OL22509514M,0.4241,Antoni Tàpies.,Antoni Tàpies,/books/OL19153146M
IT,CONTEMPORARY,2,Claudio Magris,Danubio,101,NO_MATCH,0.5175,0.4516,0.5714,/books/OL61038323M,Candido,"ovvero, Un sogno fatto in Sicilia",Leonardo Sciascia,9788845919619,2005,Adelphi,KEEP_CORE,0.5175,Candido,Leonardo Sciascia,/books/OL61038323M,0.4245,Dafni e Cloe,Longus,/books/OL15570283M,0.3987,Lo zoo umano,Desmond Morris,/books/OL32354389M
IT,CONTEMPORARY,2,Claudio Magris,Microcosmi,102,NO_MATCH,0.3958,0.3704,0.4167,/books/OL18597409M,Amori ridicoli.,,Milan Kundera,9788845910784,1994,Adelphi Edizioni,KEEP_TRANSLATION,0.3958,Amori ridicoli.,Milan Kundera,/books/OL18597409M,0.3868,Il cromosoma Calcutta,Amitav Ghosh,/books/OL20203259M,0.3863,Le mura di Adrianopoli,Guido Cervo,/books/OL23083343M
IT,CONTEMPORARY,2,Elena Ferrante,L'amica geniale,103,NO_MATCH,0.4732,0.4615,0.4828,/books/OL22271319M,Memoria totale.,,Philip K. Dick | Phil Gigante,9788804418825,1996,Mondadori,KEEP_TRANSLATION,0.4732,Memoria totale.,Philip K. Dick | Phil Gigante,/books/OL22271319M,0.4476,L' ABC della relatività.,Bertrand Russell,/books/OL15457632M,0.4405,L' analisi della materia.,Bertrand Russell,/books/OL16197094M
IT,CONTEMPORARY,2,Elena Ferrante,Storia del nuovo cognome,104,NO_MATCH,0.4822,0.3871,0.5600,/books/OL23404474M,Teorica del sovrannaturale,,Vincenzo Gioberti,,1970,CEDAM,KEEP_CORE,0.4822,Teorica del sovrannaturale,Vincenzo Gioberti,/books/OL23404474M,0.4757,Il giro del mondo in ottanta giorni,Jules Verne,/books/OL32051018M,0.4256,Storia delle conquiste umane,Daniel J. Boorstin,/books/OL878284M
IT,CONTEMPORARY,2,Elena Ferrante,Storia di chi fugge e di chi resta,105,NO_MATCH,0.4101,0.4286,0.3951,/books/OL21011362M,I principj della filosofia di Renato Des-Cartes,tradotti del Francese col confronto del Latino in cui l'autore gli scrisse,René Descartes,,1722,Per Gio. Francesco Mairesse,KEEP_TRANSLATION,0.4101,I principj della filosofia di Renato Des-Cartes,René Descartes,/books/OL21011362M,0.4041,Autorità e individuo.,Bertrand Russell,/books/OL16522151M,0.3917,Viaggio al centro della terra,Jules Verne,/books/OL22929920M
IT,CONTEMPORARY,2,Elena Ferrante,Storia della bambina perduta,106,NO_MATCH,0.4836,0.5600,0.4211,/books/OL22929920M,Viaggio al centro della terra,,Jules Verne,9788806114688,1989,Einaudi,KEEP_TRANSLATION,0.4836,Viaggio al centro della terra,Jules Verne,/books/OL22929920M,0.4604,L' analisi della materia.,Bertrand Russell,/books/OL16197094M,0.4550,Autorità e individuo.,Bertrand Russell,/books/OL16522151M
IT,CONTEMPORARY,2,Andrea Camilleri,La forma dell'acqua,107,NO_MATCH,0.5275,0.5000,0.5500,/books/OL62359803M,La fine della vicenda,,Alan Dean Foster,,1982,Editrice Nord,KEEP_TRANSLATION,0.5275,La fine della vicenda,Alan Dean Foster,/books/OL62359803M,0.5052,La fattoria degli animali,George Orwell,/books/OL27068301M,0.4850,L' analisi della materia.,Bertrand Russell,/books/OL16197094M
IT,CONTEMPORARY,2,Andrea Camilleri,Il cane di terracotta,108,NO_MATCH,0.5070,0.4000,0.5946,/books/OL47938633M,Pilota di guerra,,Antoine de Saint-Exupéry,,1944,Casa editrice Partenia,KEEP_TRANSLATION,0.5070,Pilota di guerra,Antoine de Saint-Exupéry,/books/OL47938633M,0.4943,Il cammino di madonna Oretta,Luca Badini Confalonieri,/books/OL20094983M,0.4824,Flinx nella terra di mezzo,Alan Dean Foster,/books/OL62359808M
IT,CONTEMPORARY,2,Alessandro Baricco,Seta,109,NO_MATCH,0.4952,0.2857,0.6667,/books/OL33162833M,Estetica,lezioni sul bello,Mario Pilo,,1921,U. Hoepli,KEEP_CORE,0.4952,Estetica,Mario Pilo,/books/OL33162833M,0.4157,beata riva,Angelo Conti,/books/OL23638966M,0.4132,Betsy,Harold Robbins,/books/OL13851630M
IT,CONTEMPORARY,2,Alessandro Baricco,Oceano mare,110,NO_MATCH,0.4643,0.3333,0.5714,/books/OL57490083M,Cronache Marziane,,Ray Bradbury,9788804724872,2020,Mondadori,KEEP_TRANSLATION,0.4643,Cronache Marziane,Ray Bradbury,/books/OL57490083M,0.4502,Candido,Leonardo Sciascia,/books/OL61038323M,0.4178,Teorica del sovrannaturale,Vincenzo Gioberti,/books/OL23404474M
