duplicate_type,resolved_path,owner_count,source_key,language,title,authors,cover_id,sha256
SAME_FILE,data/covers/full/ol-cover-11261770.jpg,3,/books/OL27068301M,IT,La fattoria degli animali,George Orwell,11261770,26ea9fe52fc1b2574706bb5be7e478c963764c80a18e04e15ea93200eb9b9551
SAME_FILE,data/covers/full/ol-cover-11261770.jpg,3,/books/OL25874368M,ES,Rebelión en la granja,George Orwell,11261770,26ea9fe52fc1b2574706bb5be7e478c963764c80a18e04e15ea93200eb9b9551
SAME_FILE,data/covers/full/ol-cover-11261770.jpg,3,/books/OL18430168M,NL,Dierenboerderij,George Orwell,11261770,26ea9fe52fc1b2574706bb5be7e478c963764c80a18e04e15ea93200eb9b9551
SAME_FILE,data/covers/full/ol-cover-13223338.jpg,2,/books/OL36691977M,IT,L'uomo che credeva di non avere più tempo,Guillaume Musso,13223338,5cbca6a15e3f14954b9e30c92c29ef9e6e863084e1704dddee095881cca4ba1c
SAME_FILE,data/covers/full/ol-cover-13223338.jpg,2,/books/OL31951800M,FR,Et après...,Guillaume Musso,13223338,5cbca6a15e3f14954b9e30c92c29ef9e6e863084e1704dddee095881cca4ba1c
SAME_FILE,data/covers/full/ol-cover-12866283.jpg,2,/books/OL27083962M,IT,Quando si ama non scende mai la notte,Guillaume Musso,12866283,ed821db0a1bfda253bd691367d087aa4b8a91c13eb2b35f681996535726794b0
SAME_FILE,data/covers/full/ol-cover-12866283.jpg,2,/books/OL47064723M,FR,Parce que je t'aime,Guillaume Musso,12866283,ed821db0a1bfda253bd691367d087aa4b8a91c13eb2b35f681996535726794b0
SAME_FILE,data/covers/full/ol-cover-6705630.jpg,3,/books/OL25562053M,IT,Sulla violenza,Hannah Arendt,6705630,8b6d7bf749aba6aa2862b5ac43e5248dadf31b5c2c8f005d72de35825ddbfab4
SAME_FILE,data/covers/full/ol-cover-6705630.jpg,3,/books/OL13192650M,ES,Sobre la violencia,Hannah Arendt,6705630,8b6d7bf749aba6aa2862b5ac43e5248dadf31b5c2c8f005d72de35825ddbfab4
SAME_FILE,data/covers/full/ol-cover-6705630.jpg,3,/books/OL19850467M,FR,Du mensonge à la violence : essai de politique contemporaine,Hannah Arendt,6705630,8b6d7bf749aba6aa2862b5ac43e5248dadf31b5c2c8f005d72de35825ddbfab4
SAME_FILE,data/covers/full/ol-cover-5746840.jpg,4,/books/OL16607252M,IT,Vita activa,Hannah Arendt,5746840,cf29cc37fef71c876e967c3e5ca40a2b7d930193ed7b014190b559210c648a03
SAME_FILE,data/covers/full/ol-cover-5746840.jpg,4,/books/OL47439639M,ES,La condición humana,Hannah Arendt,5746840,cf29cc37fef71c876e967c3e5ca40a2b7d930193ed7b014190b559210c648a03
SAME_FILE,data/covers/full/ol-cover-5746840.jpg,4,/books/OL46914490M,EN,The Human Condition,Hannah Arendt,5746840,cf29cc37fef71c876e967c3e5ca40a2b7d930193ed7b014190b559210c648a03
SAME_FILE,data/covers/full/ol-cover-5746840.jpg,4,/books/OL22183641M,FR,Condition de l'homme moderne =,Hannah Arendt,5746840,cf29cc37fef71c876e967c3e5ca40a2b7d930193ed7b014190b559210c648a03
SAME_FILE,data/covers/full/ol-cover-10521439.jpg,3,/books/OL31955606M,IT,Bartleby lo scrivano,Herman Melville,10521439,f73f565f79c059cb8ae373ee591f4bfa0953cecdf2e97f56af895826acf788c7
SAME_FILE,data/covers/full/ol-cover-10521439.jpg,3,/books/OL9064345M,DE,"Bartleby, der Schreiber. Eine Geschichte aus der Wall Street.",Herman Melville,10521439,f73f565f79c059cb8ae373ee591f4bfa0953cecdf2e97f56af895826acf788c7
SAME_FILE,data/covers/full/ol-cover-10521439.jpg,3,/books/OL31446258M,FR,Bartleby,Herman Melville,10521439,f73f565f79c059cb8ae373ee591f4bfa0953cecdf2e97f56af895826acf788c7
SAME_FILE,data/covers/full/ol-cover-9223569.jpg,2,/books/OL25264802M,IT,Billy Budd il marinaio,Herman Melville,9223569,e2474fd194598d9c3a1c51c57ea340f9637780d85c8073ee86f086db573aa4d7
SAME_FILE,data/covers/full/ol-cover-9223569.jpg,2,/books/OL8840392M,FR,"Billy Budd, marin",Herman Melville,9223569,e2474fd194598d9c3a1c51c57ea340f9637780d85c8073ee86f086db573aa4d7
SAME_FILE,data/covers/full/ol-cover-9341648.jpg,2,/books/OL27108351M,IT,Taipi,Herman Melville,9341648,61f2ca6085556f3f90c0795622536ac4b3b6718ca2cdf71883bf39833c7d9731
SAME_FILE,data/covers/full/ol-cover-9341648.jpg,2,/books/OL6458215M,DE,Taïpi,Herman Melville,9341648,61f2ca6085556f3f90c0795622536ac4b3b6718ca2cdf71883bf39833c7d9731
SAME_FILE,data/covers/full/ol-cover-5354508.jpg,2,/books/OL21684124M,IT,Magritte,Jacques Dopagne,5354508,beb92b58fcc8e71dd0d48474a50d0a4e52963f88373e6f25c9082c4d6f138f39
SAME_FILE,data/covers/full/ol-cover-5354508.jpg,2,/books/OL22817037M,FR,Magritte,Jacques Dopagne,5354508,beb92b58fcc8e71dd0d48474a50d0a4e52963f88373e6f25c9082c4d6f138f39
SAME_FILE,data/covers/full/ol-cover-10832290.jpg,2,/books/OL26888514M,IT,Finzioni,Jorge Luis Borges,10832290,c159ff12e48e23fd7e9b16a956b4d25020031b93b6592a85ff2ffa1ab055b8ff
SAME_FILE,data/covers/full/ol-cover-10832290.jpg,2,/books/OL37809310M,FR,Fictions,Jorge Luis Borges,10832290,c159ff12e48e23fd7e9b16a956b4d25020031b93b6592a85ff2ffa1ab055b8ff
SAME_FILE,data/covers/full/ol-cover-97008.jpg,3,/books/OL36636673M,IT,Il manoscritto di Brodie,Jorge Luis Borges,97008,295b9e603d78511e7953bab2f2b4b3b127ff01718a844c07ecbcac71b7548ca5
SAME_FILE,data/covers/full/ol-cover-97008.jpg,3,/books/OL24733206M,NL,Het Verslag van Brodie,Jorge Luis Borges,97008,295b9e603d78511e7953bab2f2b4b3b127ff01718a844c07ecbcac71b7548ca5
SAME_FILE,data/covers/full/ol-cover-97008.jpg,3,/books/OL8838336M,FR,Le rapport de Brodie,Jorge Luis Borges,97008,295b9e603d78511e7953bab2f2b4b3b127ff01718a844c07ecbcac71b7548ca5
SAME_FILE,data/covers/full/ol-cover-6976035.jpg,2,/books/OL32051018M,IT,Il giro del mondo in ottanta giorni,Jules Verne,6976035,758f499bb934aef825601162298a34546a4e95959d93a186674482c384a0e23f
SAME_FILE,data/covers/full/ol-cover-6976035.jpg,2,/books/OL25882699M,FR,Le tour du monde en quatre-vingts jours,Jules Verne,6976035,758f499bb934aef825601162298a34546a4e95959d93a186674482c384a0e23f
SAME_FILE,data/covers/full/ol-cover-5890987.jpg,2,/books/OL22929920M,IT,Viaggio al centro della terra,Jules Verne,5890987,a8761bef0b3922292d68ba27b12092ac1ba6a5b88778c54daa803d31a307f699
SAME_FILE,data/covers/full/ol-cover-5890987.jpg,2,/books/OL32006939M,FR,Voyage au centre de la terre,Jules Verne,5890987,a8761bef0b3922292d68ba27b12092ac1ba6a5b88778c54daa803d31a307f699
SAME_FILE,data/covers/full/ol-cover-8248406.jpg,2,/books/OL45687309M,IT,Ombre bruciate,Kamila Shamsie,8248406,047d4f45d7fcf6d914c34d4fd20f1b8f93579bb5d09794260842007b037df383
SAME_FILE,data/covers/full/ol-cover-8248406.jpg,2,/books/OL47313874M,NL,Verbrande schaduwen,Kamila Shamsie,8248406,047d4f45d7fcf6d914c34d4fd20f1b8f93579bb5d09794260842007b037df383
SAME_FILE,data/covers/full/ol-cover-12755709.jpg,2,/books/OL57376857M,IT,"Alexis, o, Il trattato della lotta vana",Marguerite Yourcenar,12755709,93af7e94959e15179c9cee9d10f5a3a183f96c9285bed1aca6815d6b26e31770
SAME_FILE,data/covers/full/ol-cover-12755709.jpg,2,/books/OL58396026M,FR,"Alexis, ou, Le traité du vain combat",Marguerite Yourcenar,12755709,93af7e94959e15179c9cee9d10f5a3a183f96c9285bed1aca6815d6b26e31770
SAME_FILE,data/covers/full/ol-cover-10227956.jpg,2,/books/OL18597409M,IT,Amori ridicoli.,Milan Kundera,10227956,b2f8eb843e46c3387109f36b0aeebce3a7b9786d53992b1461e0a37e28fbc46e
SAME_FILE,data/covers/full/ol-cover-10227956.jpg,2,/books/OL2501634M,FR,Risibles amours,Milan Kundera,10227956,b2f8eb843e46c3387109f36b0aeebce3a7b9786d53992b1461e0a37e28fbc46e
SAME_FILE,data/covers/full/ol-cover-42940.jpg,2,/books/OL32351351M,IT,Lo scherzo,Milan Kundera,42940,6a1288c679d5aee069256ac46cb7dd3e65be280491cb6e12cfd627cf0d7cc06d
SAME_FILE,data/covers/full/ol-cover-42940.jpg,2,/books/OL22189226M,FR,La plaisanterie,Milan Kundera,42940,6a1288c679d5aee069256ac46cb7dd3e65be280491cb6e12cfd627cf0d7cc06d
SAME_FILE,data/covers/full/ol-cover-4744992.jpg,2,/books/OL37745006M,IT,Un matrimonio benedetto,Ngũgĩ wa Thiongʼo,4744992,5297738b73037e80eeb675bc01af2fe8ad98fdc6aeaf365bf778b04d406afd72
SAME_FILE,data/covers/full/ol-cover-4744992.jpg,2,/books/OL28961193M,DE,Verborgene Schicksale,Ngũgĩ wa Thiongʼo,4744992,5297738b73037e80eeb675bc01af2fe8ad98fdc6aeaf365bf778b04d406afd72
SAME_FILE,data/covers/full/ol-cover-7296134.jpg,2,/books/OL44877027M,IT,La conquista del pane,Peter Kropotkin,7296134,820d1178e64449034aaa069b5f3dcac3f7f31057527f24bf836ce40e081cc21f
SAME_FILE,data/covers/full/ol-cover-7296134.jpg,2,/books/OL24794078M,FR,Khli͡eb i voli͡a,Peter Kropotkin,7296134,820d1178e64449034aaa069b5f3dcac3f7f31057527f24bf836ce40e081cc21f
SAME_FILE,data/covers/full/ol-cover-10153906.jpg,2,/books/OL30151424M,IT,La scienza moderna e l'anarchia,Peter Kropotkin,10153906,e62577beaa3fbb9cabdc9356a1c39d9b85bfddd14dfcf4bf55b73ec3ae588296
SAME_FILE,data/covers/full/ol-cover-10153906.jpg,2,/books/OL2765785M,ES,La ciencia moderna y el anarquismo,Peter Kropotkin,10153906,e62577beaa3fbb9cabdc9356a1c39d9b85bfddd14dfcf4bf55b73ec3ae588296
