row_index,language,title,authors,decision,cover_reference_count,cover_references
4911,FR,L' écriture comique,Jean Sareil,KEEP_CORE,0,
4912,FR,De Mentor à Orphée,Jean Terrasse,KEEP_CORE,0,
4913,FR,Les nouveaux romanciers,Jean Thoraval,KEEP_CORE,0,
4914,FR,Délinquance & protection de la jeunesse,Jean Trépanier,KEEP_CORE,0,
4915,FR,"Thorgal, tome 10",Jean Van Hamme | Grzegorz Rosiński,KEEP_CORE,0,
4916,FR,"Thorgal, tome 17",Jean Van Hamme | Grzegorz Rosiński,KEEP_CORE,0,
4917,FR,"Thorgal, tome 7",Jean Van Hamme | Grzegorz Rosiński,KEEP_CORE,0,
4918,FR,"Thorgal, tome 9",Jean Van Hamme | Grzegorz Rosiński,KEEP_CORE,0,
4919,FR,"Largo Winch, tome 1",Jean Van Hamme | Philippe Francq,KEEP_CORE,0,
4920,FR,"Largo Winch, tome 10",Jean Van Hamme | Philippe Francq,KEEP_CORE,0,
4921,FR,"Largo Winch, tome 12",Jean Van Hamme | Philippe Francq,KEEP_CORE,0,
4922,FR,"Largo Winch, tome 3",Jean Van Hamme | Philippe Francq,KEEP_CORE,0,
4923,FR,"Largo Winch, tome 8",Jean Van Hamme | Philippe Francq,KEEP_CORE,0,
4924,FR,"Largo Winch, tome 9",Jean Van Hamme | Philippe Francq,KEEP_CORE,0,
4925,FR,"Blake et Mortimer, tome 15",Jean Van Hamme | Ted Benoit,KEEP_CORE,0,
4926,FR,"La vigne du maréchal Pétain, ou, Un faire-valoir bourguignon de la révolution nationale",Jean Vigreux,KEEP_CORE,0,
4927,FR,Lignes d'horizon. recits de voyage de la litterature anglaise,Jean Vivies,KEEP_CORE,0,
4928,FR,Nouveau voyage de France,Jean-Aimar Piganiol de La Force,KEEP_CORE,0,
4929,FR,Nouvelle description de la France,Jean-Aimar Piganiol de La Force,KEEP_CORE,0,
4930,FR,Arithmétique politique,Jean-Antoine-Nicolas de Caritat marquis de Condorcet,KEEP_CORE,0,
4931,FR,Esquisse d'un tableau historique des progrès de l'esprit humain : suivi de,Jean-Antoine-Nicolas de Caritat marquis de Condorcet,KEEP_CORE,0,
4932,FR,Mathématique et société.,Jean-Antoine-Nicolas de Caritat marquis de Condorcet,KEEP_CORE,0,
4933,FR,Oeuvres de Condorcet,Jean-Antoine-Nicolas de Caritat marquis de Condorcet,KEEP_CORE,0,
4934,FR,A la baie d'Hudson ou Récit de la première visite pastorale de Mgr. N. Z. Lorrain,Jean-Baptiste Proulx,KEEP_CORE,0,
4935,FR,A Rome pour la troisième fois ou Journal de voyage 1891-1892,Jean-Baptiste Proulx,KEEP_CORE,0,
4936,FR,"Cinq mois en Europe ou Voyage du curé Labelle en France, en faveur de la colonisation",Jean-Baptiste Proulx,KEEP_CORE,0,
4937,FR,Dans la ville éternelle pendant que se discutait au Canada la question des écoles du Manitoba,Jean-Baptiste Proulx,KEEP_CORE,0,
4938,FR,En Europe,Jean-Baptiste Proulx,KEEP_CORE,0,
4939,FR,Visite pastorale de Mgr. J. Thomas Duhamel dans le haut de l'Ottawa,Jean-Baptiste Proulx,KEEP_CORE,0,
4940,FR,"Voyage au lac Abbitibi [i.e. Abitibi] ou Visite pastorale de Mgr J. Th. Duhamel, dans le haut de l'Ottawa",Jean-Baptiste Proulx,KEEP_CORE,0,
4941,FR,Voyage au lac Long dans le canton de Preston,Jean-Baptiste Proulx,KEEP_CORE,0,
4942,FR,"Réflexions sur le Muséum national, 14 janvier 1793",Jean-Baptiste-Pierre Le Brun,KEEP_CORE,0,
4943,FR,"Soldats en Algérie, 1954-1962. Expériences contrastées des hommes du contingent",Jean-Charles Jauffret,KEEP_CORE,0,
4944,FR,Le tre sor du Tonkin,Jean-Charles Kraehn,KEEP_CORE,0,
4945,FR,Comix 2000,Jean-Christophe Menu,KEEP_CORE,0,
4946,FR,Le cercle des menteurs,Jean-Claude Carrière,KEEP_CORE,0,
4947,FR,L'entretien compre hensif,Jean-Claude Kaufmann,KEEP_CORE,0,
4948,FR,"L'émancipation des Noirs dans la Révolution française, 1789-1795",Jean-Daniel Piquet,KEEP_CORE,0,
4949,FR,Al'Togo,Jean-David Morvan,KEEP_CORE,0,
4950,FR,L'Abbaye de Cluny,Jean-Denis Salvèque,KEEP_CORE,0,
4951,FR,Le management par les valeurs,Jean-François Claude,KEEP_CORE,0,
4952,FR,En route pour le Goncourt,Jean-François Kierzkowski,KEEP_CORE,0,
4953,FR,Sur la constitution du temps par la couleur dans les oeuvres recentes d'Albert Ayme.,Jean-François Lyotard,KEEP_CORE,0,
4954,FR,Contrat social,Jean-Jacques Rousseau,KEEP_CORE,0,
