source_type,source_identity,source_key,edition_key,work_key,language,title,authors,decision,cover_id,source_path,source_size_bytes,sha256,image_format,canonical_cover_file,canonical_cover_asset
ACQUISITION,/books/OL12387910M,,/books/OL12387910M,/works/OL527893W,FR,"Actes de la recherche en sciences sociales, numéro 135",Pierre Bourdieu,ACQUISITION,3071318,data/cache/fr-mass-editorial-engine/covers/FR-OL12387910M.jpeg,14582,012a3ae54cb1d522ac22ff7555c634a9f8257e2ee888b91fbb2542796e2d6549,jpg,data/covers/final/cover-012a3ae54cb1d522ac22ff7555c634a9f8257e2ee888b91fbb2542796e2d6549.jpg,covers/final/cover-012a3ae54cb1d522ac22ff7555c634a9f8257e2ee888b91fbb2542796e2d6549.jpg
ACQUISITION,/books/OL12386573M,,/books/OL12386573M,/works/OL527896W,FR,"Actes de la recherche en sciences sociales, numéros 101-102",Pierre Bourdieu,ACQUISITION,3070009,data/cache/fr-mass-editorial-engine/covers/FR-OL12386573M.jpeg,19436,108c40fff9a351d20b2eb966f3821c0e3d99aecf4882c86036104b8e602045c5,jpg,data/covers/final/cover-108c40fff9a351d20b2eb966f3821c0e3d99aecf4882c86036104b8e602045c5.jpg,covers/final/cover-108c40fff9a351d20b2eb966f3821c0e3d99aecf4882c86036104b8e602045c5.jpg
ACQUISITION,/books/OL3225830M,,/books/OL3225830M,/works/OL527972W,FR,Ce que parler veut dire,Pierre Bourdieu,ACQUISITION,974218,data/cache/fr-mass-editorial-engine/covers/FR-OL3225830M.jpeg,13621,1cfeb8292c6079f9ff90f4f9e81dd9fc2f41e9c790dcf78c899b8d706abbd826,jpg,data/covers/final/cover-1cfeb8292c6079f9ff90f4f9e81dd9fc2f41e9c790dcf78c899b8d706abbd826.jpg,covers/final/cover-1cfeb8292c6079f9ff90f4f9e81dd9fc2f41e9c790dcf78c899b8d706abbd826.jpg
ACQUISITION,/books/OL17237275M,,/books/OL17237275M,/works/OL10946521W,FR,Contre-feux 2,Pierre Bourdieu,ACQUISITION,10044867,data/cache/fr-mass-editorial-engine/covers/FR-OL17237275M.jpeg,14476,e714e7a01f95e660e245f9885ac4bc74e07d97b4d27282d571161d14cc5f9f32,jpg,data/covers/final/cover-e714e7a01f95e660e245f9885ac4bc74e07d97b4d27282d571161d14cc5f9f32.jpg,covers/final/cover-e714e7a01f95e660e245f9885ac4bc74e07d97b4d27282d571161d14cc5f9f32.jpg
ACQUISITION,/books/OL12523059M,,/books/OL12523059M,/works/OL527928W,FR,La Noblesse d'État,Pierre Bourdieu,ACQUISITION,15235806,data/cache/fr-mass-editorial-engine/covers/FR-OL12523059M.jpeg,25978,222ae27f7de0078b2762355437f96dab1f1bc3952859786d8733fa8967482498,jpg,data/covers/final/cover-222ae27f7de0078b2762355437f96dab1f1bc3952859786d8733fa8967482498.jpg,covers/final/cover-222ae27f7de0078b2762355437f96dab1f1bc3952859786d8733fa8967482498.jpg
ACQUISITION,/books/OL25888806M,,/books/OL25888806M,/works/OL17314726W,FR,Langage et pouvoir symbolique,Pierre Bourdieu,ACQUISITION,7393237,data/cache/fr-mass-editorial-engine/covers/FR-OL25888806M.jpeg,39327,bd99e764d46a7c7e6a05d0ca0016b69fe63d40a30f762d1ee38e8d43dc486217,jpg,data/covers/final/cover-bd99e764d46a7c7e6a05d0ca0016b69fe63d40a30f762d1ee38e8d43dc486217.jpg,covers/final/cover-bd99e764d46a7c7e6a05d0ca0016b69fe63d40a30f762d1ee38e8d43dc486217.jpg
ACQUISITION,/books/OL8835190M,,/books/OL8835190M,/works/OL527932W,FR,Le Bal des célibataires,Pierre Bourdieu,ACQUISITION,964535,data/cache/fr-mass-editorial-engine/covers/FR-OL8835190M.jpeg,24142,84d41702cf23681a4ed238184c57fbbee2a0c87041d9cbe673193c9677d15dd1,jpg,data/covers/final/cover-84d41702cf23681a4ed238184c57fbbee2a0c87041d9cbe673193c9677d15dd1.jpg,covers/final/cover-84d41702cf23681a4ed238184c57fbbee2a0c87041d9cbe673193c9677d15dd1.jpg
ACQUISITION,/books/OL5081745M,,/books/OL5081745M,/works/OL528005W,FR,Le métier de sociologue,Pierre Bourdieu,ACQUISITION,2161742,data/cache/fr-mass-editorial-engine/covers/FR-OL5081745M.jpeg,33068,958075a5bcf7b9348106f7d644e9d2144369adea33b7acc7246cc8cc43ea1ace,jpg,data/covers/final/cover-958075a5bcf7b9348106f7d644e9d2144369adea33b7acc7246cc8cc43ea1ace.jpg,covers/final/cover-958075a5bcf7b9348106f7d644e9d2144369adea33b7acc7246cc8cc43ea1ace.jpg
ACQUISITION,/books/OL3123815M,,/books/OL3123815M,/works/OL527935W,FR,Leçon sur la leçon,Pierre Bourdieu,ACQUISITION,13842065,data/cache/fr-mass-editorial-engine/covers/FR-OL3123815M.jpeg,16610,0a3a49245b0e15548f93833c8a674644db4a363d2949ff7a72c0b206512ca033,jpg,data/covers/final/cover-0a3a49245b0e15548f93833c8a674644db4a363d2949ff7a72c0b206512ca033.jpg,covers/final/cover-0a3a49245b0e15548f93833c8a674644db4a363d2949ff7a72c0b206512ca033.jpg
ACQUISITION,/books/OL1209854M,,/books/OL1209854M,/works/OL527940W,FR,Libre-échange,Pierre Bourdieu,ACQUISITION,2133937,data/cache/fr-mass-editorial-engine/covers/FR-OL1209854M.jpeg,36187,5c32a53247d85d0f52c071375cf51ee12f1d24aa44ba9b9c9986d4d223913813,jpg,data/covers/final/cover-5c32a53247d85d0f52c071375cf51ee12f1d24aa44ba9b9c9986d4d223913813.jpg,covers/final/cover-5c32a53247d85d0f52c071375cf51ee12f1d24aa44ba9b9c9986d4d223913813.jpg
