target_index,language,category,priority,target_author,target_work,query_alias,search_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Horace,STRICT,/works/OL38751712W,Carmina,Horace,/books/OL52820071M,Carmina,,lat,,Apud Fredericum Muller,1862,,,1.0,1.0,0.89,NOT_PROBED,,,,,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Quintus Horatius Flaccus,BROAD,/works/OL88143W,Q. Horatii Flacci Carmina expurgata,Horace,/books/OL1937725M,Q. Horatii Flacci Carmina expurgata,,lat,,Typis Caesar. Academiae Scientiarum,1814,,,0.95,0.3333333333333333,0.6973333333333334,NOT_PROBED,,,,,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Horace,STRICT,/works/OL88216W,Odes,Horace,/books/OL23322550M,Odes and Epodes,,eng | lat,,Bohn,1850,,5755425,0.18181818181818182,1.0,0.5245454545454545,VALID_COVER,293,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-05-OL23322550M.jpeg,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Horace,STRICT,/works/OL88208W,Q. Horatii Flacci opera,Horace | Horace | Massimo Lenchant de Gubernatis | Domenico Bo,/books/OL14036893M,Quinti Horatii Flacci Opera,,lat,,In bibliopolio Geistingeriano,1817,,5962766,0.17647058823529413,1.0,0.521764705882353,VALID_COVER,294,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-05-OL14036893M.jpeg,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Horace,STRICT,/works/OL88209W,A poetical translation of the works of Horace,Horace,/books/OL18731796M,poetical translation of the works of Horace,"with the original text, and critical notes...",lat,,A. Millar,1749,,,0.24,1.0,0.4948000000000001,NOT_PROBED,,,,,REJECTED_CANDIDATE,
5,LA,CLASSICAL_LITERATURE,1,Horace,Carmina,Quintus Horatius Flaccus,BROAD,/works/OL33178380W,The Odes of Quintus Horatius Flaccus,Horace,/books/OL45061709M,The Odes of Quintus Horatius Flaccus,book I,eng | lat,,Privately printed,1923,,,0.13953488372093023,0.3333333333333333,0.2758914728682171,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,STRICT,/works/OL88125W,Eclogae Horatianae,Horace,/books/OL23296599M,Eclogae Horatianae.,Pars II. Sermones prope omnes continens,lat,,Rivington,1843,,5755201,0.95,1.0,0.9239999999999999,VALID_COVER,268,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-06-OL23296599M.jpeg,USABLE_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,STRICT,/works/OL15249085W,Sermones et epistulae,Horace,/books/OL7049744M,Sermones et epistulae,,eng | lat,,Allyn and Bacon,1901,,5576847,0.95,1.0,0.9239999999999999,VALID_COVER,322,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-06-OL7049744M.jpeg,USABLE_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Quintus Horatius Flaccus,STRICT,/works/OL41114011W,Sermones,Quintus Horatius Flaccus,/books/OL55857599M,Sermones,Latin Text,lat,9781523919420,CreateSpace Independent Publishing Platform,2016,,,1.0,1.0,0.92,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Quintus Horatius Flaccus,STRICT,/works/OL40363537W,Sermones,Quintus Horatius Quintus Horatius Flaccus,/books/OL54900084M,Sermones,,lat,9781503048225,CreateSpace Independent Publishing Platform,2014,,,1.0,0.95,0.9075000000000001,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,STRICT,/works/OL11017983W,Sermones,Horace,/books/OL15326611M,Sermones.,,lat,,Heinrich Quentell,1489,,,1.0,1.0,0.89,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,STRICT,/works/OL39503954W,Sermones,Horace,/books/OL53750273M,Sermones,,lat,,Heinrich Quentell,1489,,,1.0,1.0,0.89,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,STRICT,/works/OL15249113W,Satirae,Horace,/books/OL17054191M,Q. Horati Flacci sermones et epistulae,,lat | eng,,Allyn and Bacon,1901,,,0.95,1.0,0.864,NOT_PROBED,,,,,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,BROAD,/works/OL15249113W,Satirae,Horace,/books/OL21019875M,Satires,Epistles ; and Ars poetica,eng | lat,0674992148,Harvard University Press,1991,,12837338,0.5333333333333333,1.0,0.7373333333333334,VALID_COVER,318,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-06-OL21019875M.jpeg,REJECTED_CANDIDATE,
6,LA,CLASSICAL_LITERATURE,1,Horace,Sermones,Horace,BROAD,/works/OL88208W,Q. Horatii Flacci opera,Horace | Horace | Massimo Lenchant de Gubernatis | Domenico Bo,/books/OL19372600M,The works of Horace,,eng | lat,,S. King,1825,,5990658,0.14814814814814814,1.0,0.5070370370370371,VALID_COVER,285,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-06-OL19372600M.jpeg,REJECTED_CANDIDATE,
7,LA,CLASSICAL_LITERATURE,1,Plaute,Miles Gloriosus,Titus Maccius Plautus,STRICT,/works/OL481470W,Miles gloriosus,Titus Maccius Plautus,/books/OL23319457M,Miles gloriosus,,lat,,Teubner,1881,,6539552,1.0,1.0,0.95,VALID_COVER,299,500,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-07-OL23319457M.jpeg,USABLE_CANDIDATE,
7,LA,CLASSICAL_LITERATURE,1,Plaute,Miles Gloriosus,Titus Maccius Plautus,STRICT,/works/OL481439W,The Miles gloriosus of T. Maccius Plautus,Titus Maccius Plautus,/books/OL6277855M,The Miles gloriosus of T. Maccius Plautus,"a revised text, with notes.",eng | lat,,Macmillan and Co.,1894,,5816390,0.95,1.0,0.9239999999999999,VALID_COVER,500,420,JPEG,data/audit/reconstruction-LA-candidate-covers/LA-07-OL6277855M.jpeg,USABLE_CANDIDATE,
7,LA,CLASSICAL_LITERATURE,1,Plaute,Miles Gloriosus,Titus Maccius Plautus,STRICT,/works/OL481472W,Aulularia,Titus Maccius Plautus,/books/OL19176917M,Aulularia,Miles gloriosus ; Mostellaria,ita | lat,8811586003,Garzanti,1996,,,0.95,1.0,0.894,NOT_PROBED,,,,,REJECTED_CANDIDATE,
