source_key,language,quality_bucket,quality_score,preservation_reason,original_title,original_authors,original_isbn,original_publication_year,original_publisher,rescue_state,search_mode,candidate_work_key,candidate_work_title,candidate_authors,candidate_edition_key,candidate_edition_title,candidate_languages,title_score,author_score,edition_title_score,cover_id,cover_width,cover_height,cover_format,cover_local_path,cover_sha256
/books/OL1571071M,EN,PROMISING,5,EDITORIAL_CORE,Lot lizards,Ray Garton,9780929480596,1991,Mark V. Ziesing,RECOVERED,TITLE_AUTHOR,/works/OL26558835W,Lot Lizards,Ray Garton,/books/OL42779696M,Lot Lizards,eng,1.0000,1.0000,1.0000,13200646,324,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL1571071M__OL42779696M.jpeg,99a2fd46b673d3849d37025502c6f22daf0c5cc558cd726914259d395f781eac
/books/OL16443996M,EN,PROMISING,5,EDITORIAL_CORE,Of all sad words,Bill Crider,9781410406262,2008,Thorndike Press,RECOVERED,TITLE_AUTHOR,/works/OL15397586W,Of all sad words,Bill Crider,/books/OL24373793M,Of all sad words,eng,1.0000,1.0000,1.0000,6615383,303,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16443996M__OL24373793M.jpeg,efdf823d267a346c8d7a8b83a735b78e76b4a80e86399d4474bc1a115646ea87
/books/OL16636317M,EN,PROMISING,5,EDITORIAL_CORE,Japan's outcaste youth,June A. Gordon,9781594515613,2008,Paradigm Publishers,RECOVERED,TITLE_AUTHOR,/works/OL8023127W,Japan's Outcaste Youth,June A. Gordon,/books/OL23108650M,Japan's Outcaste Youth,eng,1.0000,1.0000,1.0000,13692136,318,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16636317M__OL23108650M.jpeg,f7e8fea6b6be73042f968d07082ce838a07fb7a7eb83b294bd47576997a8b6d1
/books/OL16828614M,EN,PROMISING,5,EDITORIAL_CORE,Lord Richard's daughter,Joan Wolf,9780451123831,1983,New American Library,RECOVERED,TITLE_AUTHOR,/works/OL32441711W,Lord Richard's Daughter,Joan Wolf,/books/OL7572521M,Lord Richard's Daughter (Signet),eng,1.0000,1.0000,0.9600,13297169,323,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16828614M__OL7572521M.jpeg,84b7e2f33354af366c8cd89589e77b23723346b6860e32b1919a562a551fbae5
/books/OL16901023M,EN,STRONG,7,EDITORIAL_CORE,Amazing president Theodore Roosevelt,Mary Dodson Wade,9780766032842,2009,Enslow,RECOVERED,TITLE_AUTHOR,/works/OL24722024W,Amazing president theodore roosevelt,Mary Dodson Wade,/books/OL32818451M,Amazing president theodore roosevelt,eng,1.0000,1.0000,1.0000,11451108,403,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16901023M__OL32818451M.jpeg,402ec895095818c808afb4fb787e38ab386d1e47c1d21541c71af3aeb50dc4da
/books/OL16901202M,EN,STRONG,7,EDITORIAL_CORE,Texas plants and animals,Mary Dodson Wade,9781432911539,2008,Heinemann Library,RECOVERED,TITLE_AUTHOR,/works/OL1001293W,Texas Plants and Animals,Mary Dodson Wade,/books/OL11640666M,Texas Plants and Animals,eng,1.0000,1.0000,1.0000,2743639,373,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16901202M__OL11640666M.jpeg,48c32f2f834f9451966f2356aa2dae19e4ad95b5e4b997063c512694987b30e6
/books/OL16912043M,EN,PROMISING,5,EDITORIAL_CORE,Texas native peoples,Mary Dodson Wade,9781432911522,2008,Heinemann Library,RECOVERED,TITLE_AUTHOR,/works/OL1001289W,Texas Native Peoples,Mary Dodson Wade,/books/OL11640665M,Texas Native Peoples,eng,1.0000,1.0000,1.0000,2743638,374,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16912043M__OL11640665M.jpeg,a9178560ece624089ebcc251f4e7a3bd685faa694a8391b7e144b66aa3d2eb38
/books/OL16974995M,EN,PROMISING,5,EDITORIAL_CORE,Towards a philosophy of photography,Vilém Flusser,9783923283064,1984,European Photography,RECOVERED,TITLE_AUTHOR,/works/OL11855539W,Towards a philosophy of photography,Vilém Flusser | Vilem Flusser | Vil¿m Flusser,/books/OL23242405M,Towards a philosophy of photography,eng,1.0000,1.0000,1.0000,12129598,294,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL16974995M__OL23242405M.jpeg,e8ba95d8863f034876d8c920daf32602500da9eea2d5a389bf2ab3ed662813a2
/books/OL17190584M,EN,PROMISING,5,EDITORIAL_CORE,The power of ideology,István Mészáros,9781842773147,2005,Zed,RECOVERED,TITLE_AUTHOR,/works/OL12052251W,The power of ideology,István Mészáros,/books/OL17110934M,The power of ideology,eng,1.0000,1.0000,1.0000,15209308,321,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL17190584M__OL17110934M.jpeg,3a938b63614b32aa008b1df857c5880255a2795d1eb65522f3c825daa7cdb63a
/books/OL17298182M,EN,PROMISING,5,EDITORIAL_CORE,Not in our genes,Steven Rose,9780140135251,1990,Penguin,RECOVERED,TITLE_AUTHOR,/works/OL14989302W,Not in Our Genes,Steven Rose | Steven Rose | Leon J. Kamin,/books/OL7462344M,Not in Our Genes,eng,1.0000,1.0000,1.0000,254261,304,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL17298182M__OL7462344M.jpeg,c4b91a2f931c28faf5c2367ac39c7778535b5e1b20d0874a40a39e726237a629
/books/OL17312829M,EN,PROMISING,5,EDITORIAL_CORE,The English formal garden,Günter Mader,9781854104731,1997,Aurum,RECOVERED,TITLE_AUTHOR,/works/OL3367428W,The English formal garden,Günter Mader,/books/OL1017881M,The English formal garden,eng,1.0000,1.0000,1.0000,643507,374,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL17312829M__OL1017881M.jpeg,32c23d942c692b350da4f821cb47f112431214625f4a52eaa3c05f525432d57f
/books/OL17890575M,EN,PROMISING,5,EDITORIAL_CORE,Little ballerina,Marianne Loibl,9780735821484,2007,NorthSouth Books,RECOVERED,TITLE_ONLY,/works/OL9442342W,Little Ballerina Book and Tutu,Marianne Liobl,/books/OL10599691M,Little Ballerina Book and Tutu,eng,0.9600,0.9286,0.9600,2559966,500,498,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL17890575M__OL10599691M.jpeg,daab955ebe2fc22c812a8a4c9cdc0da772c3517a87e86164e5c42fe4c519db39
/books/OL18293140M,EN,PROMISING,5,EDITORIAL_CORE,sons of Bayezid,Dimitris J. Kastritsis,9789004158368,2007,Brill,RECOVERED,TITLE_AUTHOR,/works/OL10077500W,The Sons of Bayezid (Ottoman Empire and Its Heritage),Dimitris J. Kastritsis,/books/OL12799213M,The Sons of Bayezid (Ottoman Empire and Its Heritage),eng,0.9600,1.0000,0.9600,3338239,331,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL18293140M__OL12799213M.jpeg,4fc8b1ffc1991d70b7d053c0e789431a17db0f9fe94fcc393d13f6a510aaec1b
/books/OL18305650M,EN,STRONG,7,EDITORIAL_CORE,Splendors of Islam,Dominique Clévenot,9780865652149,2000,Vendome Press,RECOVERED,TITLE_AUTHOR,/works/OL8672021W,Splendors of Islam,Dominique Clevenot,/books/OL8317950M,Splendors of Islam,eng,1.0000,1.0000,1.0000,656628,363,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL18305650M__OL8317950M.jpeg,7190bf028706aa4b2c44b47768ef1cf9cc464b957643d61951460621332ef2af
/books/OL18733137M,EN,PROMISING,5,EDITORIAL_CORE,Asthma,William E. Berger,9780195384383,2008,Oxford University Press,RECOVERED,TITLE_AUTHOR,/works/OL10007125W,Living with asthma,William E. Berger,/books/OL21557088M,Living with asthma,eng,0.9600,1.0000,0.9600,9729695,334,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL18733137M__OL21557088M.jpeg,ad6e13032708a2f843644fdb6fb9cdb4391e40fc7135f7f7b167d4335e2400c3
/books/OL20633682M,EN,PROMISING,5,EDITORIAL_CORE,Antilles,Derek Walcott,9780374105303,1993,"Farrar, Straus, Giroux",RECOVERED,TITLE_AUTHOR,/works/OL15014026W,The Antilles: Fragments of Epic Memory,Derek Walcott,/books/OL7422963M,The Antilles: Fragments of Epic Memory,eng,0.9600,1.0000,0.9600,14831016,322,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL20633682M__OL7422963M.jpeg,973a2848a4d56190123475289e34bbe78112b2ee5a5323be532dc2f3c43163f2
/books/OL20938080M,EN,PROMISING,5,EDITORIAL_CORE,That's my boy,Jose Luis Cortes,9780005997963,1984,Collins,RECOVERED,TITLE_AUTHOR,/works/OL4969714W,That's my boy,José Luis Cortés,/books/OL2386843M,That's my boy,eng,1.0000,1.0000,1.0000,9919744,344,500,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL20938080M__OL2386843M.jpeg,db5ec7a429f1d8e099fdfb5dc962feb6ec6169bbe058adc18280e476b473821e
/books/OL20941595M,EN,PROMISING,5,EDITORIAL_CORE,Crisis of empire,David Drake,9780671697891,1988,"Simon & Schuster, Incorporated",RECOVERED,TITLE_AUTHOR,/works/OL15079510W,"An Honorable Defense (Crisis of Empire, No 1)",David Drake,/books/OL7662472M,"An Honorable Defense (Crisis of Empire, No 1)",eng,0.9600,1.0000,0.9600,407467,295,475,JPEG,data/cache/final-master-cover-rescue/covers/_books_OL20941595M__OL7662472M.jpeg,bf51f629a61fd011ce6fc8f3d546ecf6a46516b74f8934138eac1c934695b02a
