row_index,language,author,title,work_key,edition_key,cover_id,cover_local_path,cover_image_url,resolved_path,cover_state,sha256,size_bytes,source_file
39,NL,Arthur Japin,"Geluk, een geheimtaal",/works/OL44739808W,/books/OL62360071M,15240788,data/cache/nl-mass-editorial-engine/covers/NL-OL62360071M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL62360071M.jpeg,LOCAL_FILE_OK,4dca29e9b04c4808105e8c1fef93e9755667905ff368bf1b37cefeffb65de63f,39414,data/audit/nl-fast-v2-selected-pagecount.csv
40,NL,Arthur Japin,Heksenmonument,/works/OL35981085W,/books/OL48571887M,14358924,data/cache/nl-mass-editorial-engine/covers/NL-OL48571887M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL48571887M.jpeg,LOCAL_FILE_OK,6591f139c20dee924ced6da190afdc3d9d5c33463828c6730e745a84bf10437b,47870,data/audit/nl-fast-v2-selected-pagecount.csv
41,NL,Arthur Japin,Kolja,/works/OL20194465W,/books/OL27381127M,8844201,data/cache/nl-mass-editorial-engine/covers/NL-OL27381127M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL27381127M.jpeg,LOCAL_FILE_OK,e0efd33b80f8eac15750360ad64c3d1c78f06af0ec80b679e585696afa7d8776,54607,data/audit/nl-fast-v2-selected-pagecount.csv
42,NL,Arthur Japin,Vaslav,/works/OL22368177W,/books/OL30452632M,13048648,data/cache/nl-mass-editorial-engine/covers/NL-OL30452632M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL30452632M.jpeg,LOCAL_FILE_OK,6a1efb051ab6e16a5dd861a6ff77668e82038fa1d6a91695560c13d2de576353,31936,data/audit/nl-fast-v2-selected-pagecount.csv
43,NL,Bart Moeyaert,Blote handen,/works/OL891602W,/books/OL616301M,14347241,data/cache/nl-mass-editorial-engine/covers/NL-OL616301M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL616301M.jpeg,LOCAL_FILE_OK,6e7aafbafb809766e57afc7d1801c9eea0fbf2614744d2b1be9a7ae50c09a7b1,22112,data/audit/nl-fast-v2-selected-pagecount.csv
44,NL,Bart Moeyaert,Echt weg is niet zo ver,/works/OL24824223W,/books/OL32989730M,11624018,data/cache/nl-mass-editorial-engine/covers/NL-OL32989730M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32989730M.jpeg,LOCAL_FILE_OK,7157da8a28b00740f8b9427cb1cc95e430c628b0b7daad284eef96f426507baf,32460,data/audit/nl-fast-v2-selected-pagecount.csv
45,NL,Bart Moeyaert,Graz,/works/OL18747022W,/books/OL23997945M,11958174,data/cache/nl-mass-editorial-engine/covers/NL-OL23997945M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL23997945M.jpeg,LOCAL_FILE_OK,f2816d6f3b3b93589715c628e6676ea1c50d512575b6ff6dca0be6cbbb0734e1,27190,data/audit/nl-fast-v2-selected-pagecount.csv
46,NL,Bart Moeyaert,Het beest heet Mona,/works/OL26180098W,/books/OL35329722M,12147785,data/cache/nl-mass-editorial-engine/covers/NL-OL35329722M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL35329722M.jpeg,LOCAL_FILE_OK,561715e7a4395dcabf05f48b18c3bb130104b976bf4cfe21024ff40f6dbadc26,39512,data/audit/nl-fast-v2-selected-pagecount.csv
47,NL,Bart Moeyaert,Het is de liefde die we niet begrijpen,/works/OL891605W,/books/OL6809478M,12660185,data/cache/nl-mass-editorial-engine/covers/NL-OL6809478M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL6809478M.jpeg,LOCAL_FILE_OK,639f103c82404dce4326b5d944e143c39ff63b1b2c216a1dbb5ee9543be18c97,51405,data/audit/nl-fast-v2-selected-pagecount.csv
48,NL,Bart Moeyaert,Het paradijs,/works/OL24830254W,/books/OL32998724M,11643870,data/cache/nl-mass-editorial-engine/covers/NL-OL32998724M.jpeg,,data/cache/nl-mass-editorial-engine/covers/NL-OL32998724M.jpeg,LOCAL_FILE_OK,1a13c8b967f64612d2a9cde4347760235941fb29312f709860cb0b35145246fa,41155,data/audit/nl-fast-v2-selected-pagecount.csv
