language,source_stage,target_index,category,target_author,target_work,work_key,edition_key,edition_title,edition_languages,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_local_path,page_count_state,page_count_source
DE,INITIAL,60,TWENTIETH_CENTURY,Wolfgang Borchert,Draußen vor der Tür,/works/OL2808141W,/books/OL22243563M,Draussen vor der Tür,ger,0174445822,Nelson,1984,,10594646,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-060-OL22243563M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,61,TWENTIETH_CENTURY,Christa Wolf,Der geteilte Himmel,/works/OL751408W,/books/OL14453238M,Der geteilte Himmel,ger,8742976626,Grafisk Institut,1978,80,11339620,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-061-OL14453238M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,62,TWENTIETH_CENTURY,Christa Wolf,Kassandra,/works/OL11020114W,/books/OL18369458M,Cassandra,eng | ger,0374119562,"Farrar, Straus, Giroux",1984,305,9479919,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-062-OL18369458M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,63,TWENTIETH_CENTURY,Siegfried Lenz,Deutschstunde,/works/OL17922381W,/books/OL26495839M,Deutschstunde,ger,9783423134118,Deutscher Taschenbuch,2009,572,8248471,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-063-OL26495839M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,64,TWENTIETH_CENTURY,Uwe Johnson,Mutmassungen über Jakob,/works/OL155603W,/books/OL15260870M,Mutmassungen über Jakob,ger,3436004634,Fischer,1962,210,15022171,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-064-OL15260870M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,65,TWENTIETH_CENTURY,Peter Handke,Die Angst des Tormanns beim Elfmeter,/works/OL854279W,/books/OL21838300M,Die Angst des Tormanns beim Elfmeter,ger,3518065270,Suhrkamp,1970,,10074761,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-065-OL21838300M.jpeg,NO_PAGE_COUNT,
DE,INITIAL,66,CONTEMPORARY,Patrick Süskind,Das Parfum,/works/OL4042514W,/books/OL9046812M,"Oldenbourg Interpretationen, Bd.78, Das Parfum",ger,9783486886771,Oldenbourg Schulbuchverlag,"January 1, 1996",192,1012334,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-066-OL9046812M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,67,CONTEMPORARY,Bernhard Schlink,Der Vorleser,/works/OL14871157W,/books/OL18666592M,Der Vorleser,ger,9783257229530,Diogenes,1997-06-30,208,8782586,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-067-OL18666592M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,68,CONTEMPORARY,Daniel Kehlmann,Die Vermessung der Welt,/works/OL991402W,/books/OL30749128M,Die Vermessung der Welt,ger,9783499253270,Rowohlt Taschenbuch,2012,206,14121543,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-068-OL30749128M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,74,CONTEMPORARY,Elfriede Jelinek,Die Klavierspielerin,/works/OL72168W,/books/OL15447083M,Die Klavierspielerin,ger,3499158124,Rowohlt,1996,283,9442697,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-074-OL15447083M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
DE,INITIAL,77,CONTEMPORARY,Juli Zeh,Unterleuten,/works/OL20051146W,/books/OL27231169M,Unterleuten,ger,9783630874876,Luchterhand,2016-03-08,640,14408266,VALID_COVER,data/audit/reconstruction-DE-candidate-covers/DE-077-OL27231169M.jpeg,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages
