sha256,group_type,owner_count,source_type,source_identity,language,title,authors,edition_key,source_path,canonical_cover_file
615b24aeab07c3eb492062b257c8f8962394fd93f18bd389c42807fc27afb3b8,WITHIN_KEEP,2,KEEP,/books/OL25448735M,NL,Het ijs,Anna Kavan,,data/covers/full/ol-cover-7284069.jpg,data/covers/final/cover-615b24aeab07c3eb492062b257c8f8962394fd93f18bd389c42807fc27afb3b8.jpg
615b24aeab07c3eb492062b257c8f8962394fd93f18bd389c42807fc27afb3b8,WITHIN_KEEP,2,KEEP,/books/OL25448722M,FR,Neige,Anna Kavan,,data/covers/full/ol-cover-7284069.jpg,data/covers/final/cover-615b24aeab07c3eb492062b257c8f8962394fd93f18bd389c42807fc27afb3b8.jpg
f239fd960fc4e72f33b923d78855324310acd7d8341de3f516aefeeebaf69909,WITHIN_KEEP,2,KEEP,/books/OL1163209M,NL,De huurders,Bernard Malamud,,data/covers/full/ol-cover-6296465.jpg,data/covers/final/cover-f239fd960fc4e72f33b923d78855324310acd7d8341de3f516aefeeebaf69909.jpg
f239fd960fc4e72f33b923d78855324310acd7d8341de3f516aefeeebaf69909,WITHIN_KEEP,2,KEEP,/books/OL1163204M,FR,Les locataires,Bernard Malamud,,data/covers/full/ol-cover-6296465.jpg,data/covers/final/cover-f239fd960fc4e72f33b923d78855324310acd7d8341de3f516aefeeebaf69909.jpg
f5e46c0588035832ebe5f279922ff05a9ad0d7fedfe1c2bba3b44a292e66a4a0,WITHIN_KEEP,2,KEEP,/books/OL16414079M,NL,Het huis aan het strand,Daphne du Maurier,,data/covers/full/ol-cover-6515025.jpg,data/covers/final/cover-f5e46c0588035832ebe5f279922ff05a9ad0d7fedfe1c2bba3b44a292e66a4a0.jpg
f5e46c0588035832ebe5f279922ff05a9ad0d7fedfe1c2bba3b44a292e66a4a0,WITHIN_KEEP,2,KEEP,/books/OL15946692M,FR,"La maison sur le rivage, ou, L'elixir de double vie",Daphne du Maurier,,data/covers/full/ol-cover-6515025.jpg,data/covers/final/cover-f5e46c0588035832ebe5f279922ff05a9ad0d7fedfe1c2bba3b44a292e66a4a0.jpg
f9a4711e45e8e8aa16edf8e054c9d9795cfbcb644c4f80ba275c4bfc4859be0a,WITHIN_KEEP,2,KEEP,/books/OL22156610M,NL,Mary Anne,Daphne du Maurier,,data/covers/full/ol-cover-4459037.jpg,data/covers/final/cover-f9a4711e45e8e8aa16edf8e054c9d9795cfbcb644c4f80ba275c4bfc4859be0a.jpg
f9a4711e45e8e8aa16edf8e054c9d9795cfbcb644c4f80ba275c4bfc4859be0a,WITHIN_KEEP,2,KEEP,/books/OL8984044M,FR,Mary Anne,Daphne du Maurier,,data/covers/full/ol-cover-4459037.jpg,data/covers/final/cover-f9a4711e45e8e8aa16edf8e054c9d9795cfbcb644c4f80ba275c4bfc4859be0a.jpg
426b41dcd134cc409843eadee674a86df4b2a4e8a84b0771ba2994ba9d6c0bc1,WITHIN_KEEP,2,KEEP,/books/OL24395388M,NL,De naakte aap,Desmond Morris,,data/covers/full/ol-cover-12887819.jpg,data/covers/final/cover-426b41dcd134cc409843eadee674a86df4b2a4e8a84b0771ba2994ba9d6c0bc1.jpg
426b41dcd134cc409843eadee674a86df4b2a4e8a84b0771ba2994ba9d6c0bc1,WITHIN_KEEP,2,KEEP,/books/OL22193808M,FR,Le singe nu,Desmond Morris,,data/covers/full/ol-cover-12887819.jpg,data/covers/final/cover-426b41dcd134cc409843eadee674a86df4b2a4e8a84b0771ba2994ba9d6c0bc1.jpg
113cfc2aa83a5389e3e66af31ab92b71900a1d0f213f90391976f0bce0c6adfe,WITHIN_KEEP,2,KEEP,/books/OL33336086M,NL,De avonturen van Marco Polo,Elisabetta Dami,,data/covers/full/ol-cover-7560524.jpg,data/covers/final/cover-113cfc2aa83a5389e3e66af31ab92b71900a1d0f213f90391976f0bce0c6adfe.jpg
113cfc2aa83a5389e3e66af31ab92b71900a1d0f213f90391976f0bce0c6adfe,WITHIN_KEEP,2,KEEP,/books/OL32362247M,FR,Les aventures de Marco Polo,Elisabetta Dami,,data/covers/full/ol-cover-7560524.jpg,data/covers/final/cover-113cfc2aa83a5389e3e66af31ab92b71900a1d0f213f90391976f0bce0c6adfe.jpg
4863ea28714fbfc535507374322008850e2dc1ac94a8f68ddf08714c88c62038,CROSS_KEEP_ACQUISITION,2,KEEP,/books/OL23303338M,NL,kindeken Jezus in Vlaanderen,Felix Timmermans,,data/covers/full/ol-cover-6511298.jpg,data/covers/final/cover-4863ea28714fbfc535507374322008850e2dc1ac94a8f68ddf08714c88c62038.jpg
4863ea28714fbfc535507374322008850e2dc1ac94a8f68ddf08714c88c62038,CROSS_KEEP_ACQUISITION,2,ACQUISITION,/books/OL23303338M,NL,Het kindeken Jezus in Vlaanderen,Felix Timmermans,/books/OL23303338M,data/cache/nl-mass-editorial-engine/covers/NL-OL23303338M.jpeg,data/covers/final/cover-4863ea28714fbfc535507374322008850e2dc1ac94a8f68ddf08714c88c62038.jpg
7c471089ab0f8bea18d32314e705596178bcd85076def254ad2fd4ecb983aafb,WITHIN_KEEP,2,KEEP,/books/OL26443638M,NL,Duivels,Fyodor Dostoyevsky,,data/covers/full/ol-cover-9258937.jpg,data/covers/final/cover-7c471089ab0f8bea18d32314e705596178bcd85076def254ad2fd4ecb983aafb.jpg
7c471089ab0f8bea18d32314e705596178bcd85076def254ad2fd4ecb983aafb,WITHIN_KEEP,2,KEEP,/books/OL46542082M,FR,Les possédés,Fyodor Dostoyevsky,,data/covers/full/ol-cover-9258937.jpg,data/covers/final/cover-7c471089ab0f8bea18d32314e705596178bcd85076def254ad2fd4ecb983aafb.jpg
1b1e5c3a1f67119ae4bdd1f51065b07372a726ea8d22b865d92ce9f6e190df48,WITHIN_KEEP,2,KEEP,/books/OL25892052M,NL,Memoires Van De Gallische Oorlog,Gaius Julius Caesar,,data/covers/full/ol-cover-2891112.jpg,data/covers/final/cover-1b1e5c3a1f67119ae4bdd1f51065b07372a726ea8d22b865d92ce9f6e190df48.jpg
1b1e5c3a1f67119ae4bdd1f51065b07372a726ea8d22b865d92ce9f6e190df48,WITHIN_KEEP,2,KEEP,/books/OL13961083M,FR,La guerre des Gaules,Gaius Julius Caesar,,data/covers/full/ol-cover-2891112.jpg,data/covers/final/cover-1b1e5c3a1f67119ae4bdd1f51065b07372a726ea8d22b865d92ce9f6e190df48.jpg
1ef4838d4dad3222d17fee9440dfd9e2aff121c94a6402019db08fcb319bdfbf,WITHIN_KEEP,2,KEEP,/books/OL35328799M,NL,Schipbreuk,Gordon Korman,,data/covers/full/ol-cover-1230419.jpg,data/covers/final/cover-1ef4838d4dad3222d17fee9440dfd9e2aff121c94a6402019db08fcb319bdfbf.jpg
1ef4838d4dad3222d17fee9440dfd9e2aff121c94a6402019db08fcb319bdfbf,WITHIN_KEEP,2,KEEP,/books/OL32128424M,FR,Naufragés,Gordon Korman,,data/covers/full/ol-cover-1230419.jpg,data/covers/final/cover-1ef4838d4dad3222d17fee9440dfd9e2aff121c94a6402019db08fcb319bdfbf.jpg
7413dc16b4ba471a20fd9ad5f8add0504453f1741644478f96b86a76c5d35880,WITHIN_KEEP,2,KEEP,/books/OL16569395M,NL,Monseigneur Quichot,Graham Greene,,data/covers/full/ol-cover-4220427.jpg,data/covers/final/cover-7413dc16b4ba471a20fd9ad5f8add0504453f1741644478f96b86a76c5d35880.jpg
