language,category,policy_author,tier,max_selected,max_total,work_key,work_title,work_authors,author_score,first_publish_year,edition_key,edition_title,edition_subtitle,edition_languages,edition_title_score,isbn,publisher,publish_date,page_count,cover_id,cover_state,cover_width,cover_height,cover_format,cover_local_path,collection_flag,suspicious_flag,pre_cover_score,final_score,classification,classification_reason,selection_state,selection_reason,page_count_state,page_count_source,cross_language_collision,cross_language_owner_count
NL,CONTEMPORARY,Arnon Grunberg,1,10,15,/works/OL28151965W,Nee / Je weet hoe vossen zijn,Arnon Grunberg | Nationaal Comité 4 en 5 mei | Stichting voor de Collectieve Propaganda van het Nederlandse Boek,1.0000,2020,/books/OL38538519M,Nee / Je weet hoe vossen zijn,,dut,1.0000,9789059655263,Nationaal Comité 4 en 5 mei,2020,,12794883,VALID_COVER,305,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL38538519M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,NO_PAGE_COUNT,,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL23980894W,Alle verhalen,Arthur Japin,1.0000,2005,/books/OL31682494M,Alle verhalen,,dut,1.0000,9029562927,De Arbeiderspers,2005,412,10728436,VALID_COVER,310,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL31682494M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL15313031W,De grote wereld,Arthur Japin,1.0000,2006,/books/OL24332406M,De grote wereld,,dut,1.0000,9059650271,Stichting Collectieve Propaganda van het Nederlandse Boek,2006,,6460322,VALID_COVER,305,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL24332406M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,NO_PAGE_COUNT,,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL9096464W,DE KLANK VAN SNEEUW,Arthur Japin,1.0000,2006,/books/OL9097588M,DE KLANK VAN SNEEUW.,,dut,1.0000,9029563362,Uitgeverij De Arbeiderspers,2006,119,14287575,VALID_COVER,321,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL9097588M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL44739808W,"Geluk, een geheimtaal",Arthur Japin,1.0000,2019,/books/OL62360071M,"Geluk, een geheimtaal :",dagboeken 2008-2018,dut,1.0000,978 90 295 4051 3,De Arbeiderspers (singeluitgeverijen),2019 1126,,15240788,VALID_COVER,295,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL62360071M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,NO_PAGE_COUNT,,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL35981085W,Heksenmonument,Susan Smit | Bregje Hofstede | Arthur Japin | Joke J. Hermsen | Beatrijs Smulders | Manon Uphoff,1.0000,2023,/books/OL48571887M,Heksenmonument,Een pamflet over eerherstel voor onschuldige slachtoffers van de heksenvervolgingen,dut,1.0000,9789048869244,Lebowski,2023,,14358924,VALID_COVER,312,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL48571887M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,NO_PAGE_COUNT,,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL20194465W,Kolja,Arthur Japin,1.0000,2017,/books/OL27381127M,Kolja,roman,dut,1.0000,9789029509916,De Arbeiderspers,"Sep 07, 2017",342,8844201,VALID_COVER,314,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL27381127M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Arthur Japin,1,8,12,/works/OL22368177W,Vaslav,Arthur Japin,1.0000,2010,/books/OL30452632M,Vaslav,roman,dut,1.0000,9789029572972,Arbeiderspers,2010,374,13048648,VALID_COVER,295,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL30452632M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Bart Moeyaert,1,7,10,/works/OL891602W,Blote handen,Bart Moeyaert,1.0000,1996,/books/OL616301M,Blote handen,,dut,1.0000,9021475375,Querido,1996,94,14347241,VALID_COVER,292,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL616301M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
NL,CONTEMPORARY,Bart Moeyaert,1,7,10,/works/OL24824223W,Echt weg is niet zo ver,Bart Moeyaert,1.0000,1993,/books/OL32989730M,Echt weg is niet zo ver,,dut,1.0000,9789027628732,Zwijsen,1993,58,11624018,VALID_COVER,300,500,JPEG,data/cache/nl-mass-editorial-engine/covers/NL-OL32989730M.jpeg,NO,NO,167.0000,201.0000,AUTO_ACCEPT,Strong author/title/language match and validated physical cover.,SELECTED,CATEGORY_TARGET_NORMAL_CAP,RECOVERED,OPEN_LIBRARY_EDITION:number_of_pages,NO,1
