target_index,language,category,priority,target_author,target_work,query_mode,work_key,work_title,work_authors,edition_key,edition_title,edition_subtitle,edition_languages,isbn,publisher,publish_date,page_count,cover_id,title_score,author_score,candidate_score,cover_state,cover_width,cover_height,cover_format,cover_local_path,candidate_state,acquisition_search_state
45,DE,TWENTIETH_CENTURY,1,Heinrich Böll,Ansichten eines Clowns,TITLE_AUTHOR,/works/OL8114847W,Ansichten eines Clowns,Heinrich Böll,/books/OL9861826M,Ansichten Eines Clowns,,ger,9783462021950,Distribooks Int'l+inc,,,2206980,1.0,1.0,0.9700000000000001,VALID_COVER,302,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-045-OL9861826M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
46,DE,TWENTIETH_CENTURY,1,Günter Grass,Die Blechtrommel,TITLE_AUTHOR,/works/OL67334W,Die Blechtrommel,Günter Grass,/books/OL38213423M,Die Blechtrommel,Roman,ger,9783436004781,Fischer,1962,,15140972,1.0,1.0,0.9850000000000001,VALID_COVER,287,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-046-OL38213423M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
47,DE,TWENTIETH_CENTURY,1,Günter Grass,Katz und Maus,TITLE_AUTHOR,/works/OL16915317W,Katz und Maus,Günter Grass,/books/OL9043263M,Katz und Maus,Danziger Trilogie 2,ger,9783472611486,Luchterhand,1982,,9839515,1.0,1.0,0.9850000000000001,VALID_COVER,353,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-047-OL9043263M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
48,DE,TWENTIETH_CENTURY,1,Max Frisch,Stiller,TITLE_AUTHOR,/works/OL865476W,Stiller,Max Frisch,/books/OL24943592M,I'm not Stiller,,eng | ger,9780394702193,Vintage Books,1958,,6956198,1.0,1.0,0.9850000000000001,VALID_COVER,300,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-048-OL24943592M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
49,DE,TWENTIETH_CENTURY,1,Max Frisch,Homo faber,TITLE_AUTHOR,/works/OL18169803W,"Max Frisch, Homo faber",Max Frisch | Klaus Müller-Salget,/books/OL9018865M,Homo Faber,,ger,9783150081792,"Reclam, Ditzingen","December 16, 1999",,996975,1.0,1.0,0.9850000000000001,VALID_COVER,324,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-049-OL9018865M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
50,DE,TWENTIETH_CENTURY,1,Friedrich Dürrenmatt,Der Richter und sein Henker,TITLE_AUTHOR,/works/OL8584542W,Der Richter und sein Henker,Friedrich Dürrenmatt,/books/OL14972899M,Der Richter und sein Henker,,ger,0245574360,Harrap,1962,,11407415,1.0,1.0,0.9850000000000001,VALID_COVER,305,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-050-OL14972899M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
51,DE,TWENTIETH_CENTURY,1,Friedrich Dürrenmatt,Der Besuch der alten Dame,TITLE_AUTHOR,/works/OL16030304W,Der Besuch der alten Dame,Friedrich Dürrenmatt,/books/OL24944210M,Der Besuch der alten Dame,Tragische Komödie,ger,3257208359,Diogenes,1985,,6877722,1.0,1.0,0.9850000000000001,VALID_COVER,306,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-051-OL24944210M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
52,DE,TWENTIETH_CENTURY,1,Ingeborg Bachmann,Malina,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
53,DE,TWENTIETH_CENTURY,1,Paul Celan,Mohn und Gedächtnis,TITLE_AUTHOR,/works/OL11330229W,Mohn und Gedächtnis,Paul Celan,/books/OL14983614M,Mohn und Gedächtnis,Gedichte,ger,3421060649,Deutsche Verlags-Anstalt,1994,,15019605,1.0,1.0,0.9850000000000001,VALID_COVER,285,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-053-OL14983614M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
54,DE,TWENTIETH_CENTURY,1,Anna Seghers,Das siebte Kreuz,TITLE_AUTHOR,/works/OL8769634W,Das siebte Kreuz,Anna Seghers,/books/OL15447121M,Das siebte Kreuz,Roman,ger,3472611081,Luchterhand,1987,,9818349,1.0,1.0,0.9850000000000001,VALID_COVER,310,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-054-OL15447121M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
55,DE,TWENTIETH_CENTURY,1,Stefan Zweig,Schachnovelle,TITLE_AUTHOR,/works/OL19070206W,Schachnovelle,Stefan Zweig,/books/OL26726926M,Schachnovelle,,ger,9783100970916,Fisher Verlag,"Jan 01, 1959",,8384249,1.0,1.0,0.9850000000000001,VALID_COVER,294,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-055-OL26726926M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
56,DE,TWENTIETH_CENTURY,1,Stefan Zweig,Ungeduld des Herzens,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
57,DE,TWENTIETH_CENTURY,1,Robert Musil,Der Mann ohne Eigenschaften,TITLE_AUTHOR,/works/OL17816164W,Der Mann ohne Eigenschaften,Robert Musil,/books/OL3071515M,Der Mann ohne Eigenschaften,Roman,ger,3498092855,Rowohlt,1981,,1013650,1.0,1.0,0.9850000000000001,VALID_COVER,296,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-057-OL3071515M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
58,DE,TWENTIETH_CENTURY,1,Joseph Roth,Radetzkymarsch,,,,,,,,,,,,,,,,,,,,,,,NO_USABLE_CANDIDATE
59,DE,TWENTIETH_CENTURY,1,Ödön von Horváth,Jugend ohne Gott,TITLE_AUTHOR,/works/OL12928038M,Jugend ohne Gott. (Lernmaterialien),Ödön von Horváth | Cerstin Urban | Klaus Bahners | Reiner Poppe,/books/OL12928038M,Jugend ohne Gott. (Lernmaterialien),,ger,9783804416734,Bange,"May 1, 2000",,3265883,0.95,1.0,0.9590000000000001,VALID_COVER,341,475,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-059-OL12928038M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
60,DE,TWENTIETH_CENTURY,1,Wolfgang Borchert,Draußen vor der Tür,TITLE_AUTHOR,/works/OL2808141W,Draussen vor der Tür,Wolfgang Borchert,/books/OL22243563M,Draussen vor der Tür,,ger,0174445822,Nelson,1984,,10594646,1.0,1.0,0.9850000000000001,VALID_COVER,322,500,JPEG,data/audit/reconstruction-DE-candidate-covers/DE-060-OL22243563M.jpeg,USABLE_CANDIDATE,BEST_CANDIDATE_FOUND
