source_key,work_key,cover_id,cover_file,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,cover_image_url,cover_width,cover_height,cover_bytes
/books/OL17179164M,/works/OL1000232W,1443081,ol-cover-1443081.jpg,The mirror of worlds,,EN,9780765312600,2007,Tor,,"You can pretty much expect this story to live up to its title with, oh, so much more. An Ogre horse, more magic that you can shake a stick at, along with a multitude of wizards, different time periods being meshed together on the same planet, an old woman becoming young again and a great evil in beasts and men called ""The Last."" They are darn sure working hard to make their name a reality. This is another of Master Author David Drake's books that are almighty hard to stop reading and put down - at least I found that to be the case with me. Give this tale a try yourself, I do believe you'll enjoy your experience.",,329,500,45884
/books/OL21595528M,/works/OL1000235W,3933835,ol-cover-3933835.jpg,The sharp end,,EN,9780671721923,1993,Baen,,"Fighting on a battlefield isn't romantic, it's bloody hell - and Master Author David Drake gives his stories a realism as only someone who has been there can do. Here we have some top people in their various fields who, one way or another, have been through that hell - some injured enough for retirement, others with mistakes they wish to atone for. They are grouped together as a survey team on a planet specializing in the production of gage - a most potent drug. The civilians are at the mercy of two criminal syndicates who make their lives as miserable as they can - and take great pleasure in doing so. What can a small survey team do about it? Quite a bit, actually. A terrific read.",,128,207,7841
/books/OL7525543M,/works/OL1000237W,8254547,ol-cover-8254547.jpg,Hammer's slammers,,EN,9780441315956,1984,Ace,,"Military science fiction at it's best, fast paced and hard hitting.",,292,500,35325
/books/OL660387M,/works/OL1000238W,7253351,ol-cover-7253351.jpg,Lord of the Isles,,EN,9780312853969,1997,Tor,,,,310,500,58114
/books/OL28372592M,/works/OL1000239W,4636126,ol-cover-4636126.jpg,The abandoned rake,,EN,9780709090069,2010,Robert Hale,,"When Joanna Winterton's fiancé is killed, she finds it difficult to mourn him since she scarcely knew her betrothed and had scant admiration for what she did know of him. She retreats to the Lake District in the hope that the world will have forgotten her loss by the time she returns.",,128,213,9692
/books/OL7573472M,/works/OL1000240W,291796,ol-cover-291796.jpg,Althea's Grand Tour,,EN,9780451179364,1994,Signet,,"""Althea Ingram longs for a gentleman she can look up to, but, for the London dandies, it's her dowry that attracts, not her regally tall and lovely person. She flees to Europe and finds John Maitland, the Earl of Montmorcy. His towering physique and good looks is all she dreams of in a man. Unfortunately, the Earl finds that her delicate, beautiful companion, Cecily de Lisle, fits his idea about the weaker sex, not the fiercely independent Althea. Althea must take care not to fall in love with the Earl, though he presses her over the precipice of dangerous desire ...""--Publisher description.",,284,475,43345
/books/OL7573955M,/works/OL1000241W,292202,ol-cover-292202.jpg,An Uncommon Bequest,,EN,9780451192080,1998,Signet,,,,282,475,42286
/books/OL7574053M,/works/OL1000242W,292308,ol-cover-292308.jpg,A Chance Encounter,,EN,9780451194978,1998,Signet,,,,287,475,38937
/books/OL7572912M,/works/OL1000243W,8322173,ol-cover-8322173.jpg,The Colonial Upstart,,EN,9780451164735,1990,Signet,,,,279,500,40520
/books/OL7573600M,/works/OL1000244W,291884,ol-cover-291884.jpg,The Contrary Corinthian,,EN,9780451182685,1995,Signet,,,,280,475,43074
