source_key,title,subtitle,language,isbn,publication_year,publisher,page_count,summary,work_key,cover_image_url,editorial_decision,editorial_reason,reconstruction_state,quality_score,quality_bucket,quality_strengths,quality_weaknesses,preservation_reason,cover_rescue_required,cover_rescue_priority,metadata_rescue_score
/books/OL23193099M,With Scott in the Antarctic,"Edward Wilson - explorer, naturalist, artist",EN,9780750948791,2008,History,,"Wilson accompanied Scott on both his celebrated Antarctic voyages: the Discovery Expedition of 1901-1904 and the Terra Nova Expedition of 1910-1913. This biography, the first full account of the Antarctic hero, traces his life from childhood to his tragic death.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,36,9
/books/OL23246049M,Bugs,,EN,9780789485526,2002,Dorling Kindersley Pub.,,"Describes a variety of insects and their behavior, discussing metamorphosis, camouflage, defenses, and their benefits to people.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,37,9
/books/OL2372740M,Where no man has gone before,,EN,9780809580194,1987,Borgo Press,,"Describes the plots of Star Trek episodes which aired during the show's first season on television. Profiles the actor, Jeffrey Hunter and his character, Capt. Pike.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,38,9
/books/OL2372741M,That which survives,,EN,9780809581016,1987,Borgo Press,,"Discusses the characters, popularity, and individual episodes of the well-known television series.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,39,9
/books/OL2372745M,The animated voyages begin,,EN,9780809581184,1987,Borgo Press,,Discusses the twenty-two episodes of the animated television series of Star Trek which followed the termination of the original show.,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,40,9
/books/OL2372746M,The Tholian web,,EN,9780809580958,1987,Borgo Press,,"Describes the plots of Star Trek episodes which aired during the show's third season on television. Includes profiles of the actress, Nichelle Nichols and her character, Uhura.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,41,9
/books/OL2372747M,Doct or Who.,,EN,9780809580521,1987,Borgo Press,,Discusses the characters and episodes of the tenth season of the long-running British science fiction television series.,,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,42,9
/books/OL2372750M,Danger awaits,,EN,9780809580408,1986,Borgo Press,,"Describes the plots, props, and puppet cast of the science fiction television show, ""Thunderbirds.""",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,43,9
/books/OL2372770M,The Fireball XL5 files,,EN,9780809580378,1987,Borgo Press,,"Discusses the creation, characters, and episodes of the British science fiction television series using puppet animation, featuring both humans and robots in outer space.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,44,9
/books/OL2372779M,The Gerry Anderson's Stingray files,,EN,9780809580385,1987,Borgo Press,,"Discusses the creation, characters, and episodes of the British science fiction television series that used puppet animation to depict adventures in the ocean depths.",,,,,UNCOVERED,7,STRONG,ISBN | YEAR | PUBLISHER | SUMMARY,,EDITORIAL_CORE,YES,45,9
